key,code,conclusion,weakPoints,strongPoints,mark,draftMode,key:auditor,key:course
audit-01-01,AER1001,Creemos que en esta auditoria se ha apreciado el interes de varios alumnos en los planes aportados..,No hay nada destacable,Buena captacion del interes,B,false,auditor-01,course-01
audit-01-02,XBZ2002,No hay nada en claro en esta auditoria,Gran perdida de tiempo,Nada destacable,null,true,auditor-01,course-01
audit-02-01,AAA1001,Decidimos no aportar conclusion,Nada destacable,Nada destacable,A_PLUS,true,auditor-02,course-02
audit-02-02,AAA1002,Concluimos que la mejor hora de estudio son las 11:00,Vagueza Falta de interes Comentarios irrespetuosos,Buen trabajo en equipo,null,false,auditor-02,course-01
audit-01-03,A1002,Ha sido la peor auditoria del curso,Barullo ininterrumpido,Nada que aportar,null,false,auditor-01,course-01
audit-01-04,AA1002,Ha sido la mejor auditoria del curso,Nada que aportar,Alto interes en el contenido,null,false,auditor-01,course-01
audit-02-03,AB1002,This has been a great audit,Nothing,Great personality of alumns,null,false,auditor-02,course-01
audit-02-04,B1002,Cambiar el planning de estudios seria efectivo,Asignaturas de poco interes,Buenos profesores Gran captacion de la atencion del alumnado,A,false,auditor-02,course-01
audit-02-05,B1003,Auditoria piloto,Poco tiempo de explicacion,A la espera de realizar una real,C,false,auditor-02,course-01
audit-02-06,B1004,que tal,ejemplo de puntos debiles,mi mejor punto fuerte es mi consistencia,F,false,auditor-02,course-01
audit-02-07,B1005,Fin de clase alborotado aunque comienzo bastante efectivo,Cansancio por larga duracion,Alto interes al comienzo,F_MINUS,true,auditor-02,course-01
