key,title,abst,timePeriodStart,timePeriodEnd,link,key:practicum,isAddendum
practicum-session-base,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-base,true
practicum-session-title1,4,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-cod1,false
practicum-session-title2,4p,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-cod1,true
practicum-session-title3,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(45,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-cod1,false
practicum-session-title4,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(4,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-cod1,false
practicum-session-abst1,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,E,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-title1,false
practicum-session-abst2,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-title1,false
practicum-session-abst3,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U6r,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-title1,false
practicum-session-abst4,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U6,2022/08/06 00:02,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-title1,false
practicum-session-tps1,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:00,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-abst1,false
practicum-session-tps2,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:01,2022/08/13 00:04,http://sample.info/?health=tendency&duck=bit#cow,practicum-abst1,false
practicum-session-tpe1,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:03,http://sample.info/?health=tendency&duck=bit#cow,practicum-abst1,false
practicum-session-tpe2,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:02,http://sample.info/?health=tendency&duck=bit#cow,practicum-abst1,false
practicum-session-tp,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:00,2022/08/13 00:00,http://sample.info/?health=tendency&duck=bit#cow,practicum-abst1,false
practicum-session-link,4pcUkcpi07]L3vjeXqEOhWMkp!*u8CGQsosV%Ib5ZiBThNOczY3J6yNiFVMtPVvs1(KP*1Cr(,Ec!Oo(!Id1P0a%ObT73iGx4&ZoQXXXz2T@@[NP49J&qIk)sE#W7ZTL01dqD8AEhBEjQDU^K149o#zLFtZdqtoX3veyLXK09Z]U,2022/08/06 00:02,2022/08/13 00:04,,practicum-goals1,false
